segments.date,customer.id,customer.descriptive_name,campaign.id,campaign.name,campaign.status,campaign.advertising_channel_type,ad_group.id,ad_group.name,ad_group.status,segments.device,segments.ad_network_type,segments.product_item_id,segments.product_title,segments.product_brand,segments.product_type_l1,segments.product_type_l2,ad_group_criterion.keyword.text,ad_group_criterion.keyword.match_type,metrics.impressions,metrics.clicks,metrics.cost_micros,metrics.ctr,metrics.average_cpc,metrics.average_cpm,metrics.conversions,metrics.conversions_value,metrics.all_conversions,metrics.all_conversions_value,metrics.cost_per_conversion,metrics.conversions_from_interactions_rate,metrics.value_per_conversion,metrics.search_impression_share,metrics.search_budget_lost_impression_share,metrics.search_rank_lost_impression_share,metrics.view_through_conversions,metrics.interaction_rate
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1417180968,sporthink_exact,ENABLED,MOBILE,SEARCH,,,,,,sporthink,EXACT,208,9,30293399,0.043269,3254209,145487465,0.5,811.5,0.5,909.03,65287499,0.055556,1748.92,0.73,0.06,0.21,3,0.043269
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1417180968,sporthink_exact,ENABLED,DESKTOP,SEARCH,,,,,,sporthink,EXACT,125,5,18280500,0.04,3254209,145487465,0.3,489.7,0.3,533.74,65287499,0.06,1748.92,0.73,0.06,0.21,3,0.04
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1417180968,sporthink_exact,ENABLED,TABLET,SEARCH,,,,,,sporthink,EXACT,25,1,3656100,0.04,3254209,145487465,0.1,97.94,0.1,112.53,65287499,0.1,1748.92,0.73,0.06,0.21,3,0.04
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,6623011833,sporthink.com.tr_exact,ENABLED,MOBILE,SEARCH,,,,,,sporthink.com.tr,EXACT,35,2,14789999,0.057143,4684737,411290322,0.2,195.29,0.2,234.26,85000000,0.1,1122.37,0.35,0.08,0.57,3,0.057143
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,6623011833,sporthink.com.tr_exact,ENABLED,DESKTOP,SEARCH,,,,,,sporthink.com.tr,EXACT,21,1,8925000,0.047619,4684737,411290322,0.1,117.85,0.1,135.7,85000000,0.1,1122.37,0.35,0.08,0.57,3,0.047619
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,6623011833,sporthink.com.tr_exact,ENABLED,TABLET,SEARCH,,,,,,sporthink.com.tr,EXACT,4,0,1785000,0.0,4684737,411290322,0.0,23.57,0.0,27.51,85000000,0.0,1122.37,0.35,0.08,0.57,3,0.0
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,7554716681,spor_think_phrase,ENABLED,MOBILE,SEARCH,,,,,,spor think,PHRASE,119,5,26946800,0.042017,4999844,225533980,0.3,441.14,0.3,516.83,92920000,0.06,1521.18,0.32,0.04,0.64,1,0.042017
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,7554716681,spor_think_phrase,ENABLED,DESKTOP,SEARCH,,,,,,spor think,PHRASE,72,3,16260999,0.041667,4999844,225533980,0.2,266.21,0.2,291.27,92920000,0.066667,1521.18,0.32,0.04,0.64,1,0.041667
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,7554716681,spor_think_phrase,ENABLED,TABLET,SEARCH,,,,,,spor think,PHRASE,14,0,3252200,0.0,4999844,225533980,0.0,53.24,0.0,56.87,92920000,0.0,1521.18,0.32,0.04,0.64,1,0.0
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1137169205,sport_think_mağaza_broad,ENABLED,MOBILE,SEARCH,,,,,,sport think mağaza,BROAD,171,11,36917000,0.064327,3211148,215033783,0.2,201.54,0.2,233.84,159125000,0.018182,868.7,0.81,0.04,0.15,3,0.064327
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1137169205,sport_think_mağaza_broad,ENABLED,DESKTOP,SEARCH,,,,,,sport think mağaza,BROAD,103,6,22277500,0.058252,3211148,215033783,0.1,121.62,0.1,128.55,159125000,0.016667,868.7,0.81,0.04,0.15,3,0.058252
2024-10-01,1234567890,Sporthink TR,7414408476,SP_Google_Search_Brand,ENABLED,SEARCH,1137169205,sport_think_mağaza_broad,ENABLED,TABLET,SEARCH,,,,,,sport think mağaza,BROAD,20,1,4455500,0.05,3211148,215033783,0.0,24.32,0.0,26.1,159125000,0.0,868.7,0.81,0.04,0.15,3,0.05
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3823960776,koşu_ayakkabısı_exact,ENABLED,MOBILE,SEARCH,,,,,,koşu ayakkabısı,EXACT,103,3,24951600,0.029126,6579736,241685393,0.1,226.48,0.1,259.94,215100000,0.033333,1952.4,0.54,0.18,0.28,2,0.029126
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3823960776,koşu_ayakkabısı_exact,ENABLED,DESKTOP,SEARCH,,,,,,koşu ayakkabısı,EXACT,62,2,15056999,0.032258,6579736,241685393,0.1,136.67,0.1,151.34,215100000,0.05,1952.4,0.54,0.18,0.28,2,0.032258
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,3823960776,koşu_ayakkabısı_exact,ENABLED,TABLET,SEARCH,,,,,,koşu ayakkabısı,EXACT,12,0,3011400,0.0,6579736,241685393,0.0,27.33,0.0,28.78,215100000,0.0,1952.4,0.54,0.18,0.28,2,0.0
2024-10-01,1234567890,Sporthink TR,1896809310,SP_Google_Search_KosuAyakkabi,ENABLED,SEARCH,6088397395,nike_koşu_ayakkabısı_exact,ENABLED,MOBILE,SEARCH,,,,,,nike koşu ayakkabısı,EXACT,319,15,31760799,0.047022,1971103,99563636,0.9,2153.26,1.0,2387.77,34224999,0.06,2320.32,0.81,0.19,0.0,3,0.047022
